,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROJECT Helix,,,,,,,,,
,,,,,,,,,,
,Listado de preguntas y respuestas (Q&A),,,,,,,,,
,,,,,,,,,,
,#,Área,Pregunta / Petición,Prioridad,Fecha de solicitud,Link,Estatus,Respuesta de la Dirección (Notas ILV),Respuesta de la Dirección,ILV SILVER - Pregunta de seguimiento
,1,Recon,"Hemos identificado ciertas diferencias entre los estados financieros presentados en las cuentas anuales y lo reflejado en los diarios de las dos Compañías. Por favor, dirigirse a la pestaña ""Recon EEFF"" para ver estas diferencias y proporcionar una explicación o documentos adicionales.",Alta,10/12/2025,Recon EEFF,Abierto,,,
,2,P&L,"Hemos realizado una serie de preguntas relacionadas principalmente con variaciones y naturaleza de cuentas registradas en el SyS para la cuenta de perdidas y ganancias de la compañía Naturalsoft. Por favor referirse a la pestaña ""PL Naturalsoft"" para ver y responder estas preguntas.",Alta,10/12/2025,PL Naturalsoft,Abierto,,,
,3,BS,"Hemos realizado una serie de preguntas relacionadas principalmente con variaciones y naturaleza de cuentas registradas en el SyS para el balance de situación de Naturalsoft. Por favor referirse a la pestaña ""BS Naturalsoft"" para ver y responder estas preguntas.",Alta,10/12/2025,BS Naturalsoft,Abierto,,,
,4,P&L,"Hemos realizado una serie de preguntas relacionadas principalmente con variaciones y naturaleza de cuentas registradas en el SyS para la cuenta de perdidas y ganancias de la compañía Reprosoft. Por favor referirse a la pestaña ""PL Reprosoft"" para ver y responder estas preguntas.",Alta,10/12/2025,PL Reprosoft,Abierto,,,
,5,BS,"Hemos realizado una serie de preguntas relacionadas principalmente con variaciones y naturaleza de cuentas registradas en el SyS para el balance de situación de Reprosoft. Por favor referirse a la pestaña ""BS Reprosoft"" para ver y responder estas preguntas.",Alta,10/12/2025,BS Reprosoft,Abierto,,,
,6,Departamiento financiero,"(i) Por favor comentar de manera general la estructura financiera y contable actual de la Compañía - cómo se compone el área, cuántas personas forman el equipo, qué posición tienen, etc.  (incluyendo empleados internos y externos).
(ii) Describir los sistemas contables y operativos  (ERP) que usa la Compañía para el análisis de la información y para los diferentes módulos contables como existencias, clientes, proveedores, etc.",Media,10/12/2025,n.a.,Abierto,,,
,7,FX,"(i) Comentar de manera general las operaciones en moneda extranjera que realiza la Compañía (si aplica)
(ii) Comentar respecto al tratamiento contable y registro de las operaciones con moneda extranjera (si aplica)",Media,10/12/2025,n.a.,Abierto,,,
,8,Precios y tarifas,"(i) Comentar de manera general cómo es el proceso de actualización de tarifas y cada cuánto se actualizan.
(ii)  Detallar las diferentes tarifas según el tipo de ingreso para 2023, 2024 y 2025 con el objetivo que podamos ver la evolución de las mismas en el periodo analizado",Media,10/12/2025,n.a.,Abierto,,,
,9,Subvenciones,"i) Comentar de manera general el tratamiento contable (política contable) para registrar las subvenciones y las deudas transformables a subvenciones en el balance. Explicar cómo se realiza el reconocimiento de ingresos de dichas subvenciones. De ser posible, proporcionar un ejemplo del tratamiento contable de dichas subvenciones.",Media,10/12/2025,n.a.,Abierto,,,
,10,Costes personales de los accionistas,"Indicar la existencia de costes personales de los accionistas imputados a la Compañía (si aplica), y detallar: 
(i) naturaleza de dicho gasto; 
(ii) importe de transacciones por periodo para 2022, 2023, 2024 y YTD-Oct24 y YTD-Oct25; e
(iii) importes a pagar/recibir registrados en balance a 31Dic24 y 31Oct25.",Media,10/12/2025,n.a.,Abierto,,,
,11,Costes con accionistas,Confirmar si actualmente hay alguna prestación de servicio por alguno de los socios de la compañía que sea no retribuida,Media,10/12/2025,n.a.,Abierto,,,
,12,"Periodos medio de cobro, pago y existencias","(i) Favor indicar la política establecida de la Compañía para las rotación de existencias, clientes y proveedores ¿Cuáles son los términos promedio de cobro a clientes (DSO) y  promedio de pago a proveedores (DPO) de acuerdo con la política establecida? ",Media,10/12/2025,n.a.,Abierto,,,
,13,Dividendos,"(i) Comentar si hay dividendos pendientes de ser pagados a los accionistas a Oct25 en relación a los resultados de FY24.
(ii) Detallar los dividendos pagados en FY23, FY24 y YTD25 (si aplica) ",Alta,10/12/2025,n.a.,Abierto,,,
,14,Activos fuera de la transacción,"(i) Por favor preparar un detalle incluyendo los activos (e.g. vehículos, inmuebles, mobiliario, etc.) que estarían fuera de la potencial transacción - si aplica",Media,10/12/2025,n.a.,Abierto,,,
,15,Personal,"Por favor comentar de manera general lo siguiente: 
(i) Indicar si hay pagas extra a los empleados en julio y diciembre. Cuántas pagas realiza la Compañía?
(ii) Comentar y explicar qué empleados reciben pago variable dentro de su compensación - si aplica.
(iii) La Compañía realiza algún tipo de pago anual (bono) con base a resultados personales y/o de la Compañía? Si es así, por favor explicar (i) con base a qué se realiza este pago, (ii) en qué fechas se paga este bono,  (iii) explicar si a Oct25 hay pagos pendiente del bono en relación al resultado de FY24, (iv) si la Compañía realiza provisión en relación a este bonus, y  (v) explicar a qué empleados  se paga este bono (si aplica)",Media,10/12/2025,n.a.,Abierto,,,
,16,Criterio contable - ingresos y gastos,"Comentar de manera general el criterio contable de los ingresos y gastos (política contable), incluyendo:
(i) momento en que se produce el registro del ingreso/gasto (incluyendo descuentos aplicables); 
(ii) comentar la existencia de algún problema de cut-off (i.e. que se registre un ingreso/gasto sin que se produzca la venta y/o el servicio; y al revés).",Media,10/12/2025,n.a.,Abierto,,,
,17,Criterio contable - provision de clientes,Comentar de manera general el criterio contable para la estimación de provisión de cuentas por cobrar (explicar política contable - si aplica),Media,10/12/2025,n.a.,Abierto,,,
,18,Saldos de clientes,"(i) Independientemente del estado del vencimiento de las cuentas por cobrar, ¿la Dirección ha identificado clientes en riesgo de cobro o indicadores de comportamiento que aumenten el riesgo (i.e. solicitud de extensiones de plazo)? Indicar los nombres así como criterios para su clasificación como clientes de dudoso cobro, si aplica.",Media,10/12/2025,n.a.,Abierto,,,
,19,Saldos de clientes,"(i) Hemos visto algunos saldos con signo contrario a su naturaleza en los saldos por cobrar de Reprosoft. Por favor dirigirse a la pestaña ""CxC Reprosoft"" par ver y explicar dichos saldos.",Media,10/12/2025,CxC Reprosoft,Abierto,,,
,20,Criterio contable - provisiones mensuales,"(i) Por favor comentar si la Compañía realiza cierre, controles y estimaciones mensuales (e.g. provisiones, bonus, procedimientos de cut-off, etc.) y de ser así, detallar y explicar los cierres mensuales que realiza la Compañía",Media,10/12/2025,n.a.,Abierto,,,
,21,Impuestos,"(i) Por favor, explicad en qué periodos se pagan los distintos impuestos (VAT, CIT, PIT, etc.), incluyendo pagos anticipados.",Media,10/12/2025,n.a.,Abierto,,,
,22,Caja,"(i)  Confirmad si la totalidad de la caja reportada para la Compañía es totalmente líquida y disponible sin ningún tipo de gasto contingente asociado.
(ii) Además de los saldos reportados como caja ¿Hay algún saldo de otros elementos asimilables a caja (depósitos, inversiones financieras o similares) que puedan ser considerados restringidos?",Media,10/12/2025,n.a.,Abierto,,,
,23,Deuda,"Por favor, confirmad si hay gastos de apertura de prestamos que estén capitalizados en deuda. Preparar detalle, si aplica.",Media,10/12/2025,n.a.,Abierto,,,
